date;content;text_clean;case_folding;tokens;review;polarity;sentiment;label
2022-09-04 11:07:09+00:00;@Dennysiregar7 Yg katanya kalau dia jadi komisaris pertamina akan untung tp ngurusi distribusinya aja gak becus 🤣🤣🤣 https://t.co/XKAidh45V3;katanya kalau dia jadi komisaris pertamina akan untung ngurusi distribusinya aja gak becus;katanya kalau dia jadi komisaris pertamina akan untung ngurusi distribusinya aja gak becus;['kata', 'kalau', 'dia', 'jadi', 'komisaris', 'pertamina', 'untung', 'ngurusi', 'distribusi', 'saja', 'tidak', 'becus'];kata kalau dia jadi komisaris pertamina untung ngurusi distribusi saja tidak becus;-12;0;Negative
2022-09-04 14:49:58+00:00;@KurangCoding @MsjHuang @RamliRizal Seandainya pertamina ambil untung 1000 aja, udah berapa banyak itu? 1000 seperti pertamini didesa, rata2 selisih 1000 dari SPBU;Seandainya pertamina ambil untung aja udah berapa banyak itu seperti pertamini didesa rata selisih dari SPBU;seandainya pertamina ambil untung aja udah berapa banyak itu seperti pertamini didesa rata selisih dari spbu;['anda', 'pertamina', 'ambil', 'untung', 'saja', 'sudah', 'banyak', 'itu', 'seperti', 'pertamini', 'desa', 'rata', 'selisih', 'dari', 'spbu'];anda pertamina ambil untung saja sudah banyak itu seperti pertamini desa rata selisih dari spbu;-23;0;Negative
2022-09-03 08:22:10+00:00;@CNNIndonesia Di desa2 semacam garut yg susah terjangkau pertamina dan hanya ada Pertamini. Haiii apa kabaaar? Masih sabar? Harga minyak dunia turun, kita justru naik dg alasan subsidi pemerintahan bebani rakyat...haha...padahal sudah dijelaskan subsidi ndak seperti yg disampaikan pemerintah;desa semacam garut susah terjangkau pertamina dan hanya ada Pertamini Haiii apa kabaaar Masih sabar Harga minyak dunia turun kita justru naik alasan subsidi pemerintahan bebani rakyathahapadahal sudah dijelaskan subsidi ndak seperti disampaikan pemerintah;desa semacam garut susah terjangkau pertamina dan hanya ada pertamini haiii apa kabaaar masih sabar harga minyak dunia turun kita justru naik alasan subsidi pemerintahan bebani rakyathahapadahal sudah dijelaskan subsidi ndak seperti disampaikan pemerintah;['desa', 'garut', 'susah', 'jangkau', 'pertamina', 'hanya', 'ada', 'pertamini', 'hai', 'apa', 'kabar', 'sabar', 'harga', 'minyak', 'dunia', 'turun', 'naik', 'alas', 'subsidi', 'perintah', 'beban', 'rakyathahapadahal', 'sudah', 'subsidi', 'ndak', 'seperti', 'perintah'];desa garut susah jangkau pertamina hanya ada pertamini hai apa kabar sabar harga minyak dunia turun naik alas subsidi perintah beban rakyathahapadahal sudah subsidi ndak seperti perintah;-8;0;Negative
2022-09-03 16:38:55+00:00;@pakaipeci Di urut om vivo itu atas atasnya ada siapa aj...klw pertamina gk naik vivo pasti gulung tikar seperti merk lain bonjour . #ngayalwarungkopi;urut vivo itu atas atasnya ada siapa ajklw pertamina naik vivo pasti gulung tikar seperti merk lain bonjour;urut vivo itu atas atasnya ada siapa ajklw pertamina naik vivo pasti gulung tikar seperti merk lain bonjour;['urut', 'vivo', 'itu', 'atas', 'atas', 'ada', 'siapa', 'ajklw', 'pertamina', 'naik', 'vivo', 'pasti', 'gulung', 'tikar', 'seperti', 'merk', 'lain', 'bonjour'];urut vivo itu atas atas ada siapa ajklw pertamina naik vivo pasti gulung tikar seperti merk lain bonjour;-8;0;Negative
2022-09-03 11:07:08+00:00;Vivo rada jauh lagi, daripada Pertamina yo mending Shell sekalian👀;Vivo rada jauh lagi daripada Pertamina mending Shell sekalian;vivo rada jauh lagi daripada pertamina mending shell sekalian;['vivo', 'rada', 'jauh', 'lagi', 'pertamina', 'mending', 'shel'];vivo rada jauh lagi pertamina mending shel;-8;0;Negative
2022-09-04 00:03:40+00:00;Semoga yg bener2 butuh dapat pertalite. IMO, pertamina atau pemerintah ya ga gercep untuk memperbaiki sistem siapa yg bisa beli pertalite dan siapa yg tidak bisa beli pertalite. Baru2 iki ae mulai, menurutku telat banget wkwkwkwk.;Semoga bener butuh dapat pertalite IMO pertamina atau pemerintah gercep untuk memperbaiki sistem siapa bisa beli pertalite dan siapa tidak bisa beli pertalite Baru iki mulai menurutku telat banget wkwkwkwk;semoga bener butuh dapat pertalite imo pertamina atau pemerintah gercep untuk memperbaiki sistem siapa bisa beli pertalite dan siapa tidak bisa beli pertalite baru iki mulai menurutku telat banget wkwkwkwk;['moga', 'benar', 'butuh', 'dapat', 'pertalite', 'imo', 'pertamina', 'perintah', 'gercep', 'baik', 'sistem', 'siapa', 'beli', 'pertalite', 'siapa', 'tidak', 'beli', 'pertalite', 'mulai', 'turut', 'telat', 'banget', 'wkwkwkwk'];moga benar butuh dapat pertalite imo pertamina perintah gercep baik sistem siapa beli pertalite siapa tidak beli pertalite mulai turut telat banget wkwkwkwk;-23;0;Negative
2022-09-04 01:28:08+00:00;@Megatop99 @jokowi @pertamina Pemikirn dngkl sih,klw bhn bakr naik ongkos produksi jga naik,jasa naik,semua pasti naik,inflasi d presiksi 6,5 %,bkn sj kndraan.itu bumi air dn kekayaan alm milik ngra dn buat kpntingn rkyt,bkn cukong,oligarqi,melek dikit;Pemikirn dngkl sihklw bhn bakr naik ongkos produksi jga naikjasa naiksemua pasti naikinflasi presiksi bkn kndraanitu bumi air kekayaan alm milik ngra buat kpntingn rkytbkn cukongoligarqimelek dikit;pemikirn dngkl sihklw bhn bakr naik ongkos produksi jga naikjasa naiksemua pasti naikinflasi presiksi bkn kndraanitu bumi air kekayaan alm milik ngra buat kpntingn rkytbkn cukongoligarqimelek dikit;['pemikirn', 'dngkl', 'sihklw', 'bhn', 'bakr', 'naik', 'ongkos', 'produksi', 'jga', 'naikjasa', 'naiksemua', 'pasti', 'naikinflasi', 'presiksi', 'bukan', 'kndranitu', 'bumi', 'air', 'kayan', 'almarhum', 'milik', 'ngra', 'buat', 'kpntingn', 'rkytbkn', 'cukongoligarqimelek', 'dikit'];pemikirn dngkl sihklw bhn bakr naik ongkos produksi jga naikjasa naiksemua pasti naikinflasi presiksi bukan kndranitu bumi air kayan almarhum milik ngra buat kpntingn rkytbkn cukongoligarqimelek dikit;-2;0;Negative
2022-09-03 08:21:58+00:00;Kalau udah naik gini tolonglah pertalite roda dua gaperlu barcode laporan ke pertamina juga, segala ikut ikutan roda4 kudu barcode. Bikin susah semua, operator susah, konsumen ngantri lama. NGADU KEMANA INI GUE https://t.co/ipHyTGSZgu;Kalau udah naik gini tolonglah pertalite roda dua gaperlu barcode laporan pertamina juga segala ikut ikutan roda kudu barcode Bikin susah semua operator susah konsumen ngantri lama NGADU KEMANA INI GUE;kalau udah naik gini tolonglah pertalite roda dua gaperlu barcode laporan pertamina juga segala ikut ikutan roda kudu barcode bikin susah semua operator susah konsumen ngantri lama ngadu kemana ini gue;['kalau', 'sudah', 'naik', 'begini', 'tolong', 'pertalite', 'roda', 'dua', 'gaperlu', 'barcode', 'lapor', 'pertamina', 'ikut', 'ikut', 'roda', 'harus', 'barcode', 'susah', 'semua', 'operator', 'susah', 'konsumen', 'ngantri', 'lama', 'ngadu', 'aku'];kalau sudah naik begini tolong pertalite roda dua gaperlu barcode lapor pertamina ikut ikut roda harus barcode susah semua operator susah konsumen ngantri lama ngadu aku;-35;0;Negative
2022-09-04 11:54:21+00:00;@AnthonyBudiawan @dapitdong Kayak gini Pertamina siap menghadapi persaingan bebas?  Harga ada yg nyaingi di bawah aja kok ngancem2 hrs naikin. Mental lu tempe, membleeee!;Kayak gini Pertamina siap menghadapi persaingan bebas Harga ada nyaingi bawah aja kok ngancem hrs naikin Mental tempe membleeee;kayak gini pertamina siap menghadapi persaingan bebas harga ada nyaingi bawah aja kok ngancem hrs naikin mental tempe membleeee;['kayak', 'begini', 'pertamina', 'siap', 'hadap', 'saing', 'bebas', 'harga', 'ada', 'nyaingi', 'saja', 'ancam', 'harus', 'naik', 'mental', 'tempe', 'memble'];kayak begini pertamina siap hadap saing bebas harga ada nyaingi saja ancam harus naik mental tempe memble;-17;0;Negative
2022-09-03 14:02:53+00:00;Misteri Foto  Panas  Mayangsari yang Bocor ke Media Sosial, Ternyata Awalnya Begini.. Trending : Pickford Demo Darwin Gaji Pertamina BREAKING NEWS Dirumah Tiffany https://t.co/4n8xzWoryQ;Misteri Foto Panas Mayangsari yang Bocor Media Sosial Ternyata Awalnya Begini Trending Pickford Demo Darwin Gaji Pertamina BREAKING NEWS Dirumah Tiffany;misteri foto panas mayangsari yang bocor media sosial ternyata awalnya begini trending pickford demo darwin gaji pertamina breaking news dirumah tiffany;['misteri', 'foto', 'panas', 'mayangsari', 'yang', 'bocor', 'media', 'sosial', 'begini', 'trending', 'pickford', 'demo', 'darwin', 'gaji', 'pertamina', 'rumah', 'tifany'];misteri foto panas mayangsari yang bocor media sosial begini trending pickford demo darwin gaji pertamina rumah tifany;-2;0;Negative
